Post Code,Borough,Neighbourhood,Longitude,Latitude
4000,Brisbane Inner City,"BRISBANE ADELAIDE STREET, BRISBANE CITY, BRISBANE GPO, PETRIE TERRACE, SPRING HILL",153.022126,-27.468391
4001,Brisbane Inner City,"BRISBANE, CENTRAL PLAZA, RIVERSIDE CENTRE, WATERFRONT PLACE",153.030681,-27.603479
4002,Brisbane Inner City,"BRISBANE ALBERT STREET BC, WINTERGARDEN",153.027161,-27.603479
4003,Brisbane Inner City,GEORGE STREET,153.025252,-27.47264
4004,Brisbane Inner City,SPRING HILL,153.025016,-27.460912
4005,Brisbane Inner City,"NEW FARM, TENERIFFE",153.045194,-27.470078
4006,Brisbane Inner City,"BOWEN BRIDGE, BOWEN HILLS, BRISBANE EXHIBITION, FORTITUDE VALLEY, HERSTON, MAYNE, NEWSTEAD",153.175242,-27.36618
4007,Brisbane Inner City,"ASCOT, BRISBANE AIRPORT, DOOMBEN, HAMILTON, HAMILTON CENTRAL, WHINSTANES",153.061914,-27.436088
4008,Brisbane - North,"BULWER ISLAND, MEEANDAH, MYRTLETOWN, PINKENBA",153.14232,-27.399839
4009,Brisbane Inner City,"EAGLE FARM, EAGLE FARM BC",153.105247,-27.405747
4010,Brisbane Inner City,"ALBION, ALBION BC, BREAKFAST CREEK",153.04354,-27.433237
4011,Brisbane Inner City,"CLAYFIELD, EAGLE JUNCTION, HENDRA",153.059749,-27.419484
4012,Brisbane Inner City,"NUNDAH, TOOMBUL, WAVELL HEIGHTS, WAVELL HEIGHTS NORTH",153.05355,-27.399335
4013,Brisbane - North,"NORTHGATE, NORTHGATE MC",153.074982,-27.397055
4014,Brisbane - North,"BANYO. NUDGEE, NUDGEE BEACH, VIRGINIA, VIRGINIA BC",153.084784,-27.373947
4017,Brisbane - North,"BRACKEN RIDGE, BRIGHTON, BRIGHTON NATHAN STREET, DEAGON, SANDGATE, SANDGATE DC, SHORNCLIFFE",153.047339,-27.318074
4018,Brisbane - North,"FITZGIBBON, TAIGUM",153.031804,-27.349074
4025,Brisbane - East,"BULWER, CAPE MORETON, COWAN COWAN, KOORINGAL, MORETON ISLAND, TANGALOOMA",153.393497,-27.162277
4029,Brisbane Inner City,ROYAL BRISBANE HOSPITAL,153.026443,-27.449336
4030,Brisbane Inner City,"EILDON HILL, KALINGA, LUTWYCHE, WINDSOR, WOOLOOWIN",153.029681,-27.42687
4031,Brisbane Inner City,"GLEN KEDRON, GORDON PARK, KEDRON",153.030695,-27.408542
4032,Brisbane - North,"CHERMSIDE, CHERMSIDE BC, CHERMSIDE CENTRE, CHERMSIDE SOUTH, CHERMSIDE WEST, CRAIGSLEA",153.019449,-27.385605
4034,Brisbane - North,"ASPLEY, BOONDALL, CARSELDINE, GEEBUNG, ZILLMERE",153.040051,-27.354711
4036,Brisbane - North,BALD HILLS,153.008731,-27.314022
4051,Brisbane Inner City,"ALDERLEY, ENOGGERA, GAYTHORNE, GRANGE, NEWMARKET, THE GRANGE, WILSTON",153.000297,-27.427508
4059,Brisbane Inner City,"BALLYMORE, ITHACA, KELVIN GROVE, NORMANBY, RED HILL",153.008893,-27.452067
4060,Brisbane Inner City,"ASHGROVE, ASHGROVE EAST, ASHGROVE WEST, DORRINGTON, ST JOHNS WOOD",152.985176,-27.445107
4061,Brisbane Inner City,THE GAP,152.944258,-27.45085
4064,Brisbane Inner City,"BAROONA, MILTON, MILTON BC, PADDINGTON, ROSALIE",152.999039,-27.464676
4065,Brisbane Inner City,"BARDON, BARDON WEST, JUBILEE, RAINWORTH",152.975992,-27.462504
4066,Brisbane Inner City,"AUCHENFLOWER, MOUNT COOT-THA, STUARTHOLME, TOOWONG, TORWOOD",152.964146,-27.479866
4067,Brisbane - West,"IRONSIDE, ST LUCIA, ST LUCIA SOUTH",153.005045,-27.500518
4068,Brisbane Inner City,"CHELMER, INDOOROOPILLY, INDOOROOPILLY CENTRE, LONG POCKET, TARINGA",152.976926,-27.506907
4073,Brisbane - West,"SEVENTEEN MILE ROCKS, SINNAMON PARK",152.951385,-27.549179
4101,Brisbane Inner City,"HIGHGATE HILL, MATER HILL, SOUTH BANK, SOUTH BRISBANE, WEST END",153.009661,-27.484254
4102,Brisbane Inner City,"BURANDA, DUTTON PARK, WOOLLOONGABBA",153.0328,-27.495458
4103,Brisbane - South,"ANNERLEY, FAIRFIELD, FAIRFIELD GARDENS, THOMPSON ESTATE",153.028768,-27.512175
4104,Brisbane - South,"YERONGA, YERONGA WEST",153.011535,-27.515758
4105,Brisbane - South,"CLIFTON HILL, MOOROOKA, MOORVALE, TENNYSON, YEERONGPILLY",153.018893,-27.534438
4106,Brisbane - West,"BRISBANE MARKET, ROCKLEA",153.004615,-27.552137
4107,Brisbane - South,"SALISBURY, SALISBURY EAST",153.030643,-27.552052
4108,Brisbane - South,"ARCHERFIELD, COOPERS PLAINS",153.020197,-27.568359
