Post Code,Borough,Neighbourhood,Longitude,Latitude
4000,Brisbane Inner City,BRISBANE,153.022126,-27.468391
4000,Brisbane Inner City,BRISBANE ADELAIDE STREET,153.022126,-27.468391
4000,Brisbane Inner City,BRISBANE CITY,153.0251227,-27.46977074
4000,Brisbane Inner City,BRISBANE CITY DC,153.022126,-27.468391
4000,Brisbane Inner City,BRISBANE GPO,153.022126,-27.468391
4000,Brisbane Inner City,BRISBANE-CITY,153.022126,-27.468391
4000,Brisbane Inner City,PARLIAMENT HOUSE,153.022126,-27.468391
4000,Brisbane Inner City,PETRIE TERRACE,153.022126,-27.468391
4000,Brisbane Inner City,SPRING HILL,153.022126,-27.468391
4001,Brisbane Inner City,BRISBANE,152.823141,-27.603479
4001,Brisbane Inner City,CENTRAL PLAZA,152.823141,-27.603479
4001,Brisbane Inner City,RIVERSIDE CENTRE,152.823141,-27.603479
4001,Brisbane Inner City,WATERFRONT PLACE,152.823141,-27.603479
4002,Brisbane Inner City,BRISBANE ALBERT STREET BC,152.823141,-27.603479
4002,Brisbane Inner City,WINTERGARDEN,152.823141,-27.603479
4003,Brisbane Inner City,GEORGE STREET,152.348462,-24.872431
4004,Brisbane Inner City,SPRING HILL,149.316593,-24.045265
4005,Brisbane Inner City,NEW FARM,153.045194,-27.470078
4005,Brisbane Inner City,TENERIFFE,153.0483096,-27.4561168
4006,Brisbane Inner City,BOWEN BRIDGE,153.175242,-27.36618
4006,Brisbane Inner City,BOWEN HILLS,153.175242,-27.36618
4006,Brisbane Inner City,BRISBANE EXHIBITION,153.175242,-27.36618
4006,Brisbane Inner City,FORTITUDE VALLEY,153.175242,-27.36618
4006,Brisbane Inner City,FORTITUDE VALLEY BC,153.175242,-27.36618
4006,Brisbane Inner City,HERSTON,153.175242,-27.36618
4006,Brisbane Inner City,MAYNE,153.175242,-27.36618
4006,Brisbane Inner City,NEWSTEAD,153.175242,-27.36618
4007,Brisbane Inner City,ASCOT,153.061914,-27.436088
4007,Brisbane Inner City,BRISBANE AIRPORT,153.061914,-27.436088
